fecha_operacion,operacion,importe,operacion_limpia,tipo,año_mes,categoria,origen
2025-04-07,"compra nyx*airservspain, sansebastiand, eta 5489010358179057 , comision 0,00",1.0,compra nyx airservspain sansebastiand eta comision,gasto,2025-04,Ocio / Suscripciones,modelo
2025-04-07,"en la surena, palmas de gra, . :*179057",5.0,en la surena palmas de gra,gasto,2025-04,Restauración,modelo
2025-04-07,"en oakberry gran c, las palmas de, . :*179057",19.9,en oakberry gran c las palmas de,gasto,2025-04,Restauración,manual
2025-04-07,"en mercadona las t, hornos del re, . :*179057",48.83,en mercadona las t hornos del re,gasto,2025-04,Supermercado,manual
2025-04-07,"en media markt - t, jinamar, . :*179057",19.99,en media markt t jinamar,gasto,2025-04,Compras no esenciales,manual
2025-04-07,"en 2834 tb metropo, madrid, . :*179057",15.57,en tb metropo madrid,gasto,2025-04,Restauración,manual
2025-04-02,recibo gym canarias sl - fp telde - las terraza nº recibo 0049 6140 755 bbgfqxt ref. mandato rumfic4,30.0,recibo gym canarias sl fp telde las terraza nº recibo bbgfqxt ref mandato rumfic,gasto,2025-04,Facturas,manual
2025-04-01,"recibo sanitas s a de seguros nº recibo 0049 6140 755 bbgfjnj ref. mandato 800014242109, de",73.06,recibo sanitas s a de seguros nº recibo bbgfjnj ref mandato de,gasto,2025-04,Facturas,manual
2025-03-31,"compra playstation network, hilversum, eta 5489010358179057 , comision 0,00",13.99,compra playstation network hilversum eta comision,gasto,2025-03,Compras no esenciales,manual
2025-03-31,bizum de debora vega ravelo concepto todo saldado,160.0,bizum de debora vega ravelo concepto todo saldado,ingreso,2025-03,Ingreso,manual
2025-03-31,"en the barber dog, la mareta, . :*179057",69.07,en the barber dog la mareta,gasto,2025-03,Gastos extraordinarios,manual
2025-03-31,"en panera, valsequillo, . :*179057",8.95,en panera valsequillo,gasto,2025-03,Restauración,modelo
2025-03-31,"en lidl can-gc-tel, llanos de la, . :*179057",54.92,en lidl can gc tel llanos de la,gasto,2025-03,Supermercado,manual
2025-03-31,"en hd melenara, telde, . :*179057",59.3,en hd melenara telde,gasto,2025-03,Supermercado,modelo
2025-03-31,"en picoteo s. migu, telde, . :*179057",18.4,en picoteo s migu telde,gasto,2025-03,Restauración,manual
2025-03-28,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",22.99,compra apple com bill eta comision,gasto,2025-03,Ocio / Suscripciones,manual
2025-03-28,transferencia a favor de óscar gómez bastidas concepto: wink,420.0,transferencia a favor de óscar gómez bastidas concepto wink,gasto,2025-03,Gastos extraordinarios,manual
2025-03-28,"transferencia de dius madrid + delegaciones, concepto recibo de nomina.",1392.69,transferencia de dius madrid + delegaciones concepto recibo de nomina,ingreso,2025-03,Ingreso,manual
2025-03-27,"compra internet en repsol waylet, madrid, . :*179057",30.0,compra internet en repsol waylet madrid,gasto,2025-03,Transporte,manual
2025-03-26,"compra spotify p3538f0cd3, stockholm, eta 5489010358179057 , comision 0,00",14.99,compra spotify pfcd stockholm eta comision,gasto,2025-03,Ocio / Suscripciones,manual
2025-03-25,"en mercadona las t, hornos del re, . :*179057",7.75,en mercadona las t hornos del re,gasto,2025-03,Supermercado,manual
2025-03-24,"en picoteo s. migu, telde, . :*179057",31.3,en picoteo s migu telde,gasto,2025-03,Restauración,manual
2025-03-24,"en hd melenara, telde, . :*179057",74.67,en hd melenara telde,gasto,2025-03,Supermercado,modelo
2025-03-24,"en agroquimica jua, telde, . :*179057",38.9,en agroquimica jua telde,gasto,2025-03,Compras no esenciales,manual
2025-03-21,"transferencia inmediata de evelymar bastidas rosario, concepto mobile march",15.0,transferencia inmediata de evelymar bastidas rosario concepto mobile march,ingreso,2025-03,Ingreso,manual
2025-03-21,"transferencia inmediata de evelymar bastidas rosario, concepto seguro medico april",75.0,transferencia inmediata de evelymar bastidas rosario concepto seguro medico april,ingreso,2025-03,Ingreso,manual
2025-03-21,"transferencia inmediata de evelymar bastidas rosario, concepto master 4/18 meses",300.0,transferencia inmediata de evelymar bastidas rosario concepto master meses,ingreso,2025-03,Ingreso,manual
2025-03-18,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",9.99,compra apple com bill eta comision,gasto,2025-03,Ocio / Suscripciones,manual
2025-03-18,bizum a favor de debora vega ravelo concepto: agua,35.0,bizum a favor de debora vega ravelo concepto agua,gasto,2025-03,Transferencia personal,manual
2025-03-17,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",4.99,compra apple com bill eta comision,gasto,2025-03,Ocio / Suscripciones,manual
2025-03-17,"en pizza royers te, telde, . :*179057",1.9,en pizza royers te telde,gasto,2025-03,Restauración,manual
2025-03-17,"en pizza royers te, telde, . :*179057",9.2,en pizza royers te telde,gasto,2025-03,Restauración,manual
2025-03-17,"en mcdonalds telde, telde, . :*179057",10.11,en mcdonalds telde telde,gasto,2025-03,Restauración,manual
2025-03-17,"en lidl can-gc-tel, telde, . :*179057",82.74,en lidl can gc tel telde,gasto,2025-03,Supermercado,manual
2025-03-17,"en all or nothing, las palmas g., . :*179057",4.9,en all or nothing las palmas g,gasto,2025-03,Restauración,manual
2025-03-17,"en all or nothing, las palmas g., . :*179057",33.8,en all or nothing las palmas g,gasto,2025-03,Restauración,manual
2025-03-17,"en estacion falcon, telde, . :*179057",15.0,en estacion falcon telde,gasto,2025-03,Restauración,modelo
2025-03-14,recibo banco bilbao vizcaya argentaria s.a. nº recibo 0049 6140 755 bbgfdsy ref. mandato 91718303309,332.78,recibo banco bilbao vizcaya argentaria s a nº recibo bbgfdsy ref mandato,gasto,2025-03,Gastos extraordinarios,manual
2025-03-14,"recibo vodafone factura: yj25-000472971/ nº recibo 0049 6140 755 bbgfdmv ref. mandato 0111207734, de",75.14,recibo vodafone factura yj nº recibo bbgfdmv ref mandato de,gasto,2025-03,Facturas,manual
2025-03-10,bizum a favor de debora vega ravelo concepto: todo ok,106.4,bizum a favor de debora vega ravelo concepto todo ok,gasto,2025-03,Transferencia personal,manual
2025-03-10,"en bazar valsequil, almendros ur, . :*179057",6.1,en bazar valsequil almendros ur,gasto,2025-03,Restauración,modelo
2025-03-10,"en disa valsequill, valsequillo, . :*179057",30.0,en disa valsequill valsequillo,gasto,2025-03,Transporte,manual
2025-03-10,bizum de juan miguel viera rodriguez concepto parking,2.0,bizum de juan miguel viera rodriguez concepto parking,ingreso,2025-03,Ingreso,manual
2025-03-10,bizum de lucia artiles sanchez concepto aparcamiento,1.75,bizum de lucia artiles sanchez concepto aparcamiento,ingreso,2025-03,Ingreso,manual
2025-03-10,"en panera, valsequillo, . :*179057",7.7,en panera valsequillo,gasto,2025-03,Restauración,modelo
2025-03-10,"en picoteo s. migu, telde, . :*179057",20.7,en picoteo s migu telde,gasto,2025-03,Restauración,manual
2025-03-07,transferencia inmediata a favor de viajes insular a35004670 concepto res:307734/mojacar25 débora veg,127.0,transferencia inmediata a favor de viajes insular a concepto res mojacar débora veg,gasto,2025-03,Gastos extraordinarios,modelo
2025-03-07,bizum de debora vega ravelo concepto viaje,127.0,bizum de debora vega ravelo concepto viaje,ingreso,2025-03,Ingreso,manual
2025-03-05,recibo gym canarias sl - fp telde - las terraza nº recibo 0049 6140 755 bbgdxng ref. mandato rumfic4,30.0,recibo gym canarias sl fp telde las terraza nº recibo bbgdxng ref mandato rumfic,gasto,2025-03,Facturas,manual
2025-03-04,bizum de nayomi armas morales concepto parking,2.0,bizum de nayomi armas morales concepto parking,ingreso,2025-03,Ingreso,manual
2025-03-03,"en mercadona las t, hornos del re, . :*179057",3.5,en mercadona las t hornos del re,gasto,2025-03,Supermercado,manual
2025-03-03,"en pintadera las t, telde, . :*179057",8.9,en pintadera las t telde,gasto,2025-03,Supermercado,modelo
2025-03-03,"en las terrazas tp, telde, . :*179057",5.9,en las terrazas tp telde,gasto,2025-03,Supermercado,modelo
2025-03-03,"en kiabi telde, telde, . :*179057",7.0,en kiabi telde telde,gasto,2025-03,Supermercado,modelo
2025-03-03,"en 2834 tb metropo, madrid, . :*179057",20.92,en tb metropo madrid,gasto,2025-03,Restauración,manual
2025-03-03,"recibo sanitas s a de seguros nº recibo 0049 6140 755 bbgdmqk ref. mandato 800014242109, de",73.06,recibo sanitas s a de seguros nº recibo bbgdmqk ref mandato de,gasto,2025-03,Facturas,manual
2025-02-28,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",22.99,compra apple com bill eta comision,gasto,2025-02,Ocio / Suscripciones,manual
2025-02-28,"en picoteo s. migu, telde, . :*179057",26.1,en picoteo s migu telde,gasto,2025-02,Restauración,manual
2025-02-27,transferencia a favor de óscar gómez bastidas concepto: .,400.0,transferencia a favor de óscar gómez bastidas concepto,gasto,2025-02,Gastos extraordinarios,manual
2025-02-27,"transferencia de dius madrid + delegaciones, concepto recibo de nomina.",1498.79,transferencia de dius madrid + delegaciones concepto recibo de nomina,ingreso,2025-02,Ingreso,manual
2025-02-26,"compra spotify p34538d758, stockholm, eta 5489010358179057 , comision 0,00",14.99,compra spotify pd stockholm eta comision,gasto,2025-02,Ocio / Suscripciones,manual
2025-02-26,bizum de debora vega ravelo concepto todo saldado,145.0,bizum de debora vega ravelo concepto todo saldado,ingreso,2025-02,Ingreso,manual
2025-02-25,"compra sumup *la creperia, valsequillo, eta 5489010358179057 , comision 0,00",11.0,compra sumup la creperia valsequillo eta comision,gasto,2025-02,Restauración,manual
2025-02-24,"en ferreteria san, telde, . :*179057",31.0,en ferreteria san telde,gasto,2025-02,Compras no esenciales,modelo
2025-02-24,"en restaurante el, las palmas, . :*179057",26.1,en restaurante el las palmas,gasto,2025-02,Restauración,manual
2025-02-24,"en hd melenara, telde, . :*179057",62.93,en hd melenara telde,gasto,2025-02,Supermercado,modelo
2025-02-21,"transferencia inmediata de evelymar bastidas rosario, concepto mobile feb",15.0,transferencia inmediata de evelymar bastidas rosario concepto mobile feb,ingreso,2025-02,Ingreso,manual
2025-02-21,"transferencia inmediata de evelymar bastidas rosario, concepto seguro medico march",75.0,transferencia inmediata de evelymar bastidas rosario concepto seguro medico march,ingreso,2025-02,Ingreso,manual
2025-02-21,"transferencia inmediata de evelymar bastidas rosario, concepto master 3/18 meses",300.0,transferencia inmediata de evelymar bastidas rosario concepto master meses,ingreso,2025-02,Ingreso,manual
2025-02-20,"compra internet en fred.olsen expr, santa cruz de, . :*179057",54.72,compra internet en fred olsen expr santa cruz de,gasto,2025-02,Transporte,modelo
2025-02-18,"en el corral telde, telde, . :*179057",206.49,en el corral telde telde,gasto,2025-02,Gastos extraordinarios,manual
2025-02-17,"compra playstation network, hilversum, eta 5489010358179057 , comision 0,00",13.99,compra playstation network hilversum eta comision,gasto,2025-02,Compras no esenciales,manual
2025-02-17,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",4.99,compra apple com bill eta comision,gasto,2025-02,Ocio / Suscripciones,manual
2025-02-17,"en puerto rico sa, mogan, . :*179057",5.4,en puerto rico sa mogan,gasto,2025-02,Restauración,modelo
2025-02-17,bizum a favor de elena maria rivero hafez concepto: colchonetillas,9.0,bizum a favor de elena maria rivero hafez concepto colchonetillas,gasto,2025-02,Transferencia personal,manual
2025-02-17,"en pizzammare, puerto rico, . :*179057",15.9,en pizzammare puerto rico,gasto,2025-02,Restauración,manual
2025-02-17,"compra internet en repsol waylet, madrid, . :*179057",39.14,compra internet en repsol waylet madrid,gasto,2025-02,Transporte,manual
2025-02-17,"en litibu, juan grande, . :*179057",26.0,en litibu juan grande,gasto,2025-02,Restauración,modelo
2025-02-14,recibo banco bilbao vizcaya argentaria s.a. nº recibo 0049 6140 755 bbgdhzq ref. mandato 91718303309,332.78,recibo banco bilbao vizcaya argentaria s a nº recibo bbgdhzq ref mandato,gasto,2025-02,Gastos extraordinarios,manual
2025-02-14,"recibo vodafone factura: yj25-000276644/ nº recibo 0049 6140 755 bbgdhss ref. mandato 0111207734, de",75.14,recibo vodafone factura yj nº recibo bbgdhss ref mandato de,gasto,2025-02,Facturas,manual
2025-02-13,"en lidl can-gc-tel, telde, . :*179057",26.4,en lidl can gc tel telde,gasto,2025-02,Supermercado,manual
2025-02-11,"en mercadona las t, hornos del re, . :*179057",9.95,en mercadona las t hornos del re,gasto,2025-02,Supermercado,manual
2025-02-10,"en picoteo s. migu, telde, . :*179057",22.7,en picoteo s migu telde,gasto,2025-02,Restauración,manual
2025-02-07,"en hd melenara, telde, . :*179057",43.67,en hd melenara telde,gasto,2025-02,Supermercado,modelo
2025-02-07,"en mercadona las t, hornos del re, . :*179057",9.7,en mercadona las t hornos del re,gasto,2025-02,Supermercado,manual
2025-02-05,recibo gym canarias sl - fp telde - las terraza nº recibo 0049 6140 755 bbgdbqz ref. mandato rumfic4,30.0,recibo gym canarias sl fp telde las terraza nº recibo bbgdbqz ref mandato rumfic,gasto,2025-02,Facturas,manual
2025-02-04,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",9.99,compra apple com bill eta comision,gasto,2025-02,Ocio / Suscripciones,manual
2025-02-03,"recibo sanitas s a de seguros nº recibo 0049 6140 755 bbgcrcv ref. mandato 800014242109, de",73.06,recibo sanitas s a de seguros nº recibo bbgcrcv ref mandato de,gasto,2025-02,Facturas,manual
2025-02-03,"en alcampo telde, telde, . :*179057",16.7,en alcampo telde telde,gasto,2025-02,Supermercado,manual
2025-02-03,"compra internet en repsol waylet, madrid, . :*179057",35.0,compra internet en repsol waylet madrid,gasto,2025-02,Transporte,manual
2025-02-03,"en agroquimica jua, telde, . :*179057",11.0,en agroquimica jua telde,gasto,2025-02,Compras no esenciales,manual
2025-02-03,"en picoteo s. migu, telde, . :*179057",4.4,en picoteo s migu telde,gasto,2025-02,Restauración,manual
2025-02-03,"en picoteo s. migu, telde, . :*179057",18.8,en picoteo s migu telde,gasto,2025-02,Restauración,manual
2025-02-03,"en lidl can-gc-tel, telde, . :*179057",53.88,en lidl can gc tel telde,gasto,2025-02,Supermercado,manual
2025-01-31,"en el corral telde, telde, . :*179057",77.0,en el corral telde telde,gasto,2025-01,Facturas,manual
2025-01-30,transferencia a favor de óscar gómez bastidas,400.0,transferencia a favor de óscar gómez bastidas,gasto,2025-01,Gastos extraordinarios,manual
2025-01-30,"transferencia de dius madrid + delegaciones, concepto recibo de nomina.",1392.86,transferencia de dius madrid + delegaciones concepto recibo de nomina,ingreso,2025-01,Ingreso,manual
2025-01-30,"en el roque, telde, . :*179057",15.0,en el roque telde,gasto,2025-01,Supermercado,modelo
2025-01-28,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",22.99,compra apple com bill eta comision,gasto,2025-01,Ocio / Suscripciones,manual
2025-01-28,"en mercadona las t, hornos del re, . :*179057",1.61,en mercadona las t hornos del re,gasto,2025-01,Supermercado,manual
2025-01-27,"compra apple.com/bill, itunes.com, eta 5489010358179057 , comision 0,00",9.99,compra apple com bill itunes com eta comision,gasto,2025-01,Ocio / Suscripciones,manual
2025-01-27,"compra spotify p337c75cc9, stockholm, eta 5489010358179057 , comision 0,00",14.99,compra spotify pccc stockholm eta comision,gasto,2025-01,Ocio / Suscripciones,manual
2025-01-27,"en lidl can-gc-tel, llanos de la, . :*179057",51.41,en lidl can gc tel llanos de la,gasto,2025-01,Supermercado,manual
2025-01-27,"en aldi telde mele, telde, . :*179057",40.49,en aldi telde mele telde,gasto,2025-01,Supermercado,manual
2025-01-24,"transferencia inmediata de evelymar bastidas rosario, concepto mobile jan",15.0,transferencia inmediata de evelymar bastidas rosario concepto mobile jan,ingreso,2025-01,Ingreso,manual
2025-01-24,"transferencia inmediata de evelymar bastidas rosario, concepto seguro medico febrero",75.0,transferencia inmediata de evelymar bastidas rosario concepto seguro medico febrero,ingreso,2025-01,Ingreso,manual
2025-01-24,"transferencia inmediata de evelymar bastidas rosario, concepto master 2/18 meses",300.0,transferencia inmediata de evelymar bastidas rosario concepto master meses,ingreso,2025-01,Ingreso,manual
2025-01-24,"en el corral telde, telde, . :*179057",60.36,en el corral telde telde,gasto,2025-01,Facturas,manual
2025-01-24,"en el roque, telde, . :*179057",10.01,en el roque telde,gasto,2025-01,Supermercado,modelo
2025-01-24,"en cafeteria paris, telde, . :*179057",3.0,en cafeteria paris telde,gasto,2025-01,Restauración,manual
2025-01-23,"en media markt - t, jinamar, . :*179057",9.35,en media markt t jinamar,gasto,2025-01,Compras no esenciales,manual
2025-01-21,"compra ubr* pending.uber.com, amsterdam, eta 5489010358179057 , comision 0,00",4.99,compra ubr pending uber com amsterdam eta comision,gasto,2025-01,Restauración,modelo
2025-01-20,"en lidl can-gc-tel, telde, . :*179057",33.35,en lidl can gc tel telde,gasto,2025-01,Supermercado,manual
2025-01-20,"en hd melenara, telde, . :*179057",67.25,en hd melenara telde,gasto,2025-01,Supermercado,modelo
2025-01-20,"en muelle deportiv, palmas de gra, . :*179057",0.9,en muelle deportiv palmas de gra,gasto,2025-01,Restauración,modelo
2025-01-20,"en school busrger, las palmas de, . :*179057",38.65,en school busrger las palmas de,gasto,2025-01,Restauración,modelo
2025-01-17,"en media markt - t, jinamar, . :*179057",39.99,en media markt t jinamar,gasto,2025-01,Compras no esenciales,manual
2025-01-17,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",4.99,compra apple com bill eta comision,gasto,2025-01,Ocio / Suscripciones,manual
2025-01-16,"recibo vodafone factura: yj25-000092107/ nº recibo 0049 6140 755 bbgclzk ref. mandato 0111207734, de",74.39,recibo vodafone factura yj nº recibo bbgclzk ref mandato de,gasto,2025-01,Facturas,manual
2025-01-16,"en el roque, telde, . :*179057",7.6,en el roque telde,gasto,2025-01,Supermercado,modelo
2025-01-14,recibo banco bilbao vizcaya argentaria s.a. nº recibo 0049 6140 755 bbgclls ref. mandato 91718303309,332.78,recibo banco bilbao vizcaya argentaria s a nº recibo bbgclls ref mandato,gasto,2025-01,Gastos extraordinarios,manual
2025-01-13,"compra worten mirador, canarias, eta 5489010358179057 , comision 0,00",17.99,compra worten mirador canarias eta comision,gasto,2025-01,Compras no esenciales,modelo
2025-01-13,"en mercadona las t, hornos del re, . :*179057",1.65,en mercadona las t hornos del re,gasto,2025-01,Supermercado,manual
2025-01-13,"en lidl can-gc-tel, telde, . :*179057",31.37,en lidl can gc tel telde,gasto,2025-01,Supermercado,manual
2025-01-13,"en cafe regina cc, las palmas de, . :*179057",12.7,en cafe regina cc las palmas de,gasto,2025-01,Restauración,modelo
2025-01-08,recibo gym canarias sl - fp telde - las terraza nº recibo 0049 6140 755 bbgcgzv ref. mandato rumfic4,30.0,recibo gym canarias sl fp telde las terraza nº recibo bbgcgzv ref mandato rumfic,gasto,2025-01,Facturas,manual
2025-01-07,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",9.99,compra apple com bill eta comision,gasto,2025-01,Ocio / Suscripciones,manual
2025-01-07,"en lidl can-gc-tel, telde, . :*179057",38.71,en lidl can gc tel telde,gasto,2025-01,Supermercado,manual
2025-01-07,"en hd arnao, telde, . :*179057",41.47,en hd arnao telde,gasto,2025-01,Supermercado,modelo
2025-01-07,bizum a favor de daniel jesus quero lopez concepto: evelymar bastidas,2.5,bizum a favor de daniel jesus quero lopez concepto evelymar bastidas,gasto,2025-01,Transferencia personal,manual
2025-01-07,"en cafeteria marke, puerto rico, . :*179057",5.85,en cafeteria marke puerto rico,gasto,2025-01,Restauración,manual
2025-01-07,"compra internet en repsol waylet, madrid, . :*179057",33.25,compra internet en repsol waylet madrid,gasto,2025-01,Transporte,manual
2025-01-03,"en t484 alcampo te, telde, . :*179057",6.01,en t alcampo te telde,gasto,2025-01,Supermercado,manual
2025-01-03,"en alcampo telde, telde, . :*179057",24.87,en alcampo telde telde,gasto,2025-01,Supermercado,manual
2025-01-03,"en spar la barrera, almendros, ur, . :*179057",4.99,en spar la barrera almendros ur,gasto,2025-01,Restauración,manual
2025-01-03,"en spar la barrera, almendros, ur, . :*179057",14.9,en spar la barrera almendros ur,gasto,2025-01,Restauración,manual
2025-01-02,"recibo sanitas s a de seguros nº recibo 0049 6140 755 bbgbtdz ref. mandato 800014242109, de",73.06,recibo sanitas s a de seguros nº recibo bbgbtdz ref mandato de,gasto,2025-01,Facturas,manual
2025-01-02,"en picoteo s. migu, telde, . :*179057",4.4,en picoteo s migu telde,gasto,2025-01,Restauración,manual
2025-01-02,"en picoteo s. migu, telde, . :*179057",20.2,en picoteo s migu telde,gasto,2025-01,Restauración,manual
2025-01-02,"transferencia de evelymar bastidas rosario, concepto master 1/18 meses",300.0,transferencia de evelymar bastidas rosario concepto master meses,ingreso,2025-01,Ingreso,manual
2025-01-02,"transferencia de evelymar bastidas rosario, concepto mobile december",15.0,transferencia de evelymar bastidas rosario concepto mobile december,ingreso,2025-01,Ingreso,manual
2025-01-02,"transferencia de evelymar bastidas rosario, concepto seguro medico december",75.0,transferencia de evelymar bastidas rosario concepto seguro medico december,ingreso,2025-01,Ingreso,manual
2025-01-02,bizum de debora vega ravelo concepto todo saldado,47.0,bizum de debora vega ravelo concepto todo saldado,ingreso,2025-01,Ingreso,manual
2024-12-31,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",4.99,compra apple com bill eta comision,gasto,2024-12,Ocio / Suscripciones,manual
2024-12-31,"en chiwawa vegueta, palmas las, . :*179057",50.2,en chiwawa vegueta palmas las,gasto,2024-12,Gastos extraordinarios,modelo
2024-12-30,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",22.99,compra apple com bill eta comision,gasto,2024-12,Ocio / Suscripciones,manual
2024-12-30,"en picoteo s. migu, telde, . :*179057",7.92,en picoteo s migu telde,gasto,2024-12,Restauración,manual
2024-12-30,"en leroy merlin te, telde, . :*179057",24.43,en leroy merlin te telde,gasto,2024-12,Compras no esenciales,manual
2024-12-30,transferencia a favor de óscar gómez bastidas concepto: ahorro,100.0,transferencia a favor de óscar gómez bastidas concepto ahorro,gasto,2024-12,Transferencia personal,manual
2024-12-27,"en floristeria ela, almendros, ur, . :*179057",5.8,en floristeria ela almendros ur,gasto,2024-12,Restauración,modelo
2024-12-27,"en lidl can-gc-tel, telde, . :*179057",23.78,en lidl can gc tel telde,gasto,2024-12,Supermercado,manual
2024-12-27,"en hd arnao, telde, . :*179057",32.54,en hd arnao telde,gasto,2024-12,Supermercado,modelo
2024-12-27,"transferencia de diusframi s.a.u., concepto recibo de nomina.",1408.28,transferencia de diusframi s a u concepto recibo de nomina,ingreso,2024-12,Ingreso,manual
2024-12-27,"en bijou brigitte, telde, . :*179057",9.45,en bijou brigitte telde,gasto,2024-12,Supermercado,modelo
2024-12-27,"en casa del libro, las palmas de, . :*179057",19.13,en casa del libro las palmas de,gasto,2024-12,Restauración,modelo
2024-12-26,"compra spotify p32a3f766d, stockholm, eta 5489010358179057 , comision 0,00",14.99,compra spotify pafd stockholm eta comision,gasto,2024-12,Ocio / Suscripciones,manual
2024-12-26,"en bk16212 telde, telde, . :*179057",15.0,en bk telde telde,gasto,2024-12,Restauración,manual
2024-12-26,"compra internet en repsol waylet, madrid, . :*179057",39.11,compra internet en repsol waylet madrid,gasto,2024-12,Transporte,manual
2024-12-24,"compra aliexpress, luxembourg, eta 5489010358179057 , comision 0,00",12.06,compra aliexpress luxembourg eta comision,gasto,2024-12,Compras no esenciales,manual
2024-12-24,"en sagulpa / elder, las palmas, . :*179057",2.25,en sagulpa elder las palmas,gasto,2024-12,Transporte,modelo
2024-12-23,"compra ubr* pending.uber.com, amsterdam, eta 5489010358179057 , comision 0,00",4.99,compra ubr pending uber com amsterdam eta comision,gasto,2024-12,Restauración,modelo
